noise_p,mode,n_seeds,mean_test_r2,std_test_r2,mean_test_mse,std_test_mse,mean_test_rmse,std_test_rmse,mean_test_mae,std_test_mae,run_to_run_sigma_test_r2
0.001,freeze_eval,10,0.8934330150068595,0.015997716609922594,55004.447023974964,7354.5230912072575,234.04979279098106,15.816359971519148,152.605250661272,9.877845434437459,0.015997716609922594
0.001,freeze_eval_calibrated,10,0.9113922657718035,0.018197212679934856,45637.515738768765,8262.80045816563,212.81700593690624,19.61965349166192,132.53856060376796,7.5434525670642465,0.018197212679934856
0.001,noise_aware,10,0.8956152300715287,0.01626889988845033,53872.67183923727,7482.073521584573,231.60172920236656,16.10075463072549,155.03365231905892,9.073106825615207,0.01626889988845033
0.005,freeze_eval,10,0.8139229071266512,0.02407212591020957,96141.79293739432,11579.825131749307,309.56299090809745,18.635318839580187,199.88523349704826,10.947552316459522,0.02407212591020957
0.005,freeze_eval_calibrated,10,0.9112282321608742,0.01804097155573696,45724.130919038966,8181.290188734146,213.0373847643022,19.413729729973806,133.20460142004944,7.493252296277708,0.01804097155573696
0.005,noise_aware,10,0.8521630127449061,0.015565252274391459,76335.45941689769,6273.169496000684,276.07479192620383,11.458557200283474,195.88748729502814,6.863623438326447,0.015565252274391459
0.01,freeze_eval,10,0.6594113319799435,0.04712746916374024,175955.39102913774,22809.04301240815,418.6653573733307,27.380235462810365,272.5008870381034,16.75331466234974,0.04712746916374024
0.01,freeze_eval_calibrated,10,0.9107928422143386,0.017636521357171135,45954.74531615357,7971.561488931439,213.6212936506632,18.876446675117183,134.30460731844929,7.3199040650153995,0.017636521357171135
0.01,noise_aware,10,0.7722640974268179,0.02853989499041712,117601.17157807332,12579.711591182804,342.5021227030833,18.057547574212226,247.3381351783509,10.969697830914589,0.02853989499041712
0.02,freeze_eval,10,0.2989534648641124,0.09611650022554419,362152.230193189,46126.562208983356,600.6523837270408,39.00062843101566,397.158604790891,28.343672489307473,0.09611650022554419
0.02,freeze_eval_calibrated,10,0.9091668675183762,0.016166561857538793,46816.68163867966,7214.920079941693,215.77405905678523,16.939010755538167,137.34299478869792,7.061387113606411,0.016166561857538793
0.02,noise_aware,10,0.5473928697408187,0.059839771491348455,233836.20371043176,27806.06353933866,482.82599407007456,28.191077403951887,339.70894789992633,16.76112206235615,0.059839771491348455
