model,seed,train_size,test_r2,train_r2,generalization_gap
ANN_reg,42,800,0.8715088743879382,0.9421232169234544,0.07061434253551613
ANN_reg,43,800,0.9274657278818057,0.9148229282493765,-0.012642799632429202
ANN_reg,44,800,0.9265203321244379,0.8943485984801138,-0.03217173364432402
ANN_reg,45,800,0.926021226923339,0.9393143653319685,0.013293138408629557
ANN_reg,46,800,0.9551595346212858,0.9480187755302496,-0.007140759091036175
ANN_reg,47,800,0.9589697891351223,0.9311451143980335,-0.027824674737088828
ANN_reg,48,800,0.9121087287734297,0.9201600134595656,0.008051284686135807
ANN_reg,49,800,0.9202792765057926,0.9450932137823275,0.024813937276534914
ANN_reg,50,800,0.9010089497458335,0.9678365873631338,0.06682763761730037
ANN_reg,51,800,0.9074588445072848,0.9002337061345689,-0.007225138372715878
ANN_reg,42,1600,0.8748210083047121,0.9341982152066126,0.059377206901900514
ANN_reg,43,1600,0.9173370509367147,0.9120946648548476,-0.005242386081867112
ANN_reg,44,1600,0.9632853487969743,0.9475062542173438,-0.015779094579630448
ANN_reg,45,1600,0.9262219996613767,0.9519737823041508,0.025751782642774
ANN_reg,46,1600,0.9369741072952029,0.921414724034026,-0.015559383261176896
ANN_reg,47,1600,0.9599747624770985,0.9372910276755005,-0.02268373480159791
ANN_reg,48,1600,0.9592623343602097,0.9437748238918381,-0.015487510468371601
ANN_reg,49,1600,0.9302869627817085,0.9531588898743217,0.02287192709261321
ANN_reg,50,1600,0.9025727057042042,0.959922301981958,0.05734959627775382
ANN_reg,51,1600,0.9392141334469674,0.9405991513206671,0.001385017873699712
ANN_reg,42,2400,0.8772751592837453,0.9275361427972525,0.05026098351350716
ANN_reg,43,2400,0.9497713681846196,0.930772415483654,-0.018998952700965632
ANN_reg,44,2400,0.9639761200009773,0.9449075928630034,-0.019068527137973912
ANN_reg,45,2400,0.9221908143678165,0.9446067417525439,0.02241592738472742
ANN_reg,46,2400,0.9564676375002956,0.9460324524973761,-0.010435185002919511
ANN_reg,47,2400,0.9597377235365601,0.9335480213366906,-0.02618970219986949
ANN_reg,48,2400,0.934671668692437,0.9066405719117233,-0.028031096780713693
ANN_reg,49,2400,0.9285422716039381,0.9549504650430962,0.026408193439158123
ANN_reg,50,2400,0.9061122025623175,0.9458050328639388,0.039692830301621296
ANN_reg,51,2400,0.9394094984134287,0.9388649471640914,-0.0005445512493372773
ANN_reg,42,3200,0.9048821826913281,0.943333945888028,0.03845176319669985
ANN_reg,43,3200,0.950029484979462,0.9325277532715963,-0.01750173170786573
ANN_reg,44,3200,0.9665551142518883,0.9446249781175367,-0.021930136134351685
ANN_reg,45,3200,0.9264631580612981,0.9505830988600386,0.02411994079874047
ANN_reg,46,3200,0.959335710324425,0.94653403402821,-0.012801676296214981
ANN_reg,47,3200,0.9318766189400912,0.9068324344582316,-0.025044184481859633
ANN_reg,48,3200,0.9354771039871174,0.9107241200268987,-0.024752983960218633
ANN_reg,49,3200,0.8918221675104104,0.916858863967324,0.025036696456913532
ANN_reg,50,3200,0.9030565923518082,0.9491787414891693,0.04612214913736101
ANN_reg,51,3200,0.9356660696125015,0.9382021107495677,0.0025360411370661806
