seed,train_size,test_r2,train_r2,generalization_gap,test_mse,test_rmse,test_mae
42,800,0.8924794452041889,0.9287096737642603,0.03623022856007141,54369.86174118338,233.17345848355762,148.28649093893367
43,800,0.9213998413472951,0.9090570075977177,-0.012342833749577453,41125.96255358705,202.79537113451838,132.4221208704589
44,800,0.9277371375645118,0.8978940616299146,-0.02984307593459723,38051.62575956375,195.0682592313874,132.01665000231517
45,800,0.8909979091918702,0.9065282219801778,0.015530312788307632,55057.82409534063,234.6440369908015,145.1607476523875
46,800,0.9091221398357063,0.9076669287390812,-0.0014552110966251641,48976.7178914009,221.30684104067117,150.56767169303367
47,800,0.9071620335808215,0.8924159450984558,-0.014746088482365693,48705.36116132788,220.69291144331726,156.5536177588995
48,800,0.9243696037419232,0.9346046872657614,0.010235083523838173,40827.56523825529,202.0583213783963,133.57720288982452
49,800,0.8901369305299118,0.9113818339695295,0.021244903439617713,53771.18006161154,231.88613598404615,144.09357099031752
50,800,0.8885037465405983,0.9321578564317865,0.04365410989118823,56108.33034316278,236.87197036197165,143.45049139729088
51,800,0.8819082825003878,0.8756141914126048,-0.006294091087783005,61308.95569438961,247.60645325675503,161.39521159721025
42,1600,0.8898786402315254,0.918159416832118,0.028280776600592583,55685.00940804612,235.97671369871674,152.6251629165711
43,1600,0.9196108838784696,0.9121323055593542,-0.007478578319115359,42061.9988050908,205.09022113472597,133.0515213879457
44,1600,0.9273467962664352,0.911474742102937,-0.01587205416349824,38257.168696728375,195.59439842881076,134.7391155712234
45,1600,0.8930149291316667,0.9152236258193334,0.022208696687666674,54039.011261396096,232.46292448774727,145.08835174427176
46,1600,0.9110071778852156,0.9041448036613626,-0.006862374223852941,47960.816145932156,218.99958024145195,148.2206875105732
47,1600,0.911767315084272,0.8999407696545519,-0.011826545429720059,46289.30329700133,215.14949058039002,150.08948186906724
48,1600,0.9195156667268716,0.9124088847240828,-0.007106782002788803,43447.866597885426,208.44151841196472,135.92401539171814
49,1600,0.8910195850304787,0.9104793287723756,0.01945974374189685,53339.175254981776,230.9527554608989,142.0449917831967
50,1600,0.8883966213692187,0.9252145831381899,0.03681796176897123,56162.23901109864,236.98573588108343,141.87452535098365
51,1600,0.8793237571288763,0.8690440578618953,-0.010279699266981024,62650.7479457686,250.30131431090928,164.9298860501551
42,2400,0.8888323367470726,0.9117212895995706,0.022888952852497924,56214.09313438149,237.09511410904588,150.44381254917732
43,2400,0.9201206838918528,0.9042174266936506,-0.01590325719820218,41795.25613408865,204.43888117011562,133.03304707248628
44,2400,0.9277138049853815,0.9086275733043913,-0.019086231680990218,38063.91205073943,195.0997489766182,131.69528439902328
45,2400,0.8916894894464367,0.9133857552029299,0.021696265756493194,54708.50140142314,233.89848524824427,145.62157478375187
46,2400,0.9105189419991198,0.9063260873269318,-0.004192854672187996,48223.94064308188,219.59950055289715,147.21078695908906
47,2400,0.9057102226592433,0.8871663638510761,-0.018543858808167224,49467.02126657143,222.41182807254526,158.51037374808612
48,2400,0.9233007109956164,0.9074323883851156,-0.01586832261050075,41404.58572858333,203.48116799493593,131.60930654339325
49,2400,0.889837361513,0.9118412250367433,0.022003863523743283,53917.80057409988,232.20206841046846,144.32313384706242
50,2400,0.8886496598878264,0.9144169886401894,0.025767328752362983,56034.902276893874,236.7169243566963,141.44884947516357
51,2400,0.8799730801128605,0.8685158782606873,-0.011457201852173138,62313.64289810461,249.62700754947292,163.46000684371205
42,3200,0.8878428451108894,0.9079453701443724,0.020102525033482976,56714.44884362713,238.14795578301135,151.26071377182254
43,3200,0.9203645246403278,0.9057530894851642,-0.01461143515516361,41667.67133448117,204.12660614060377,132.7834581420249
44,3200,0.9226561645672456,0.9042458875439621,-0.018410277023283572,40727.12568401005,201.80962733232042,140.52066706392696
45,3200,0.8934719433786575,0.9157241747261498,0.022252231347492213,53808.169725849984,231.96588052092918,142.9661157183886
46,3200,0.9112414548110201,0.9003462276347343,-0.010895227176285882,47834.557507328056,218.71112799153147,148.81701714974758
47,3200,0.9061786557216824,0.892774251525441,-0.013404404196241448,49221.26834493814,221.85866750014102,157.8269816932285
48,3200,0.9212009444812834,0.9085932482278901,-0.012607696253393308,42538.10291995836,206.24767373223474,134.45893519765383
49,3200,0.8861597185159685,0.907004552564136,0.020844834048167504,55717.77944552166,236.04613838299,146.2372963221776
50,3200,0.8878461625586346,0.9157528531372969,0.027906690578662352,56439.246747468904,237.569456680502,142.61366162958808
51,3200,0.8803088319314344,0.8716529657823087,-0.008655866149125724,62139.33267715854,249.27762169348162,163.10638181782852
