Temperature;Pressure;Theta;Velocity;Power
3.83;1028.83;196.27;6.76;235.82
2.74;1031.87;277.34;9.95;861.65
2.78;1028.4;240.85;5.11;6.96
3.56;1029.01;263.01;6.26;177.67
4.53;1028.49;319.34;5.4;95.09
4.25;1029.11;200.79;5.96;7.26
7.55;1034.57;223.91;3.33;8.22
1.18;994.59;337.53;5.75;76.54
2.19;1024.16;124.11;7.7;396.6
3.77;1028.51;287.58;6.97;327.75
2.12;1029.62;309.59;6.4;232.66
2.52;1010.19;295.61;18.83;2013.94
3.82;1006.41;317.04;13.04;1639.68
3.78;1026.51;266.15;6.18;8.39
0.34;1032.81;332.15;5.59;82.46
2.65;1028.94;188.77;5.3;87.92
5.31;1008.7;180.65;11.96;1357.02
4.79;1006.96;226.27;10.36;984.92
5.09;1009.59;251.83;12.37;1493.8
5.5;997.86;246.65;10.9;1090.05
3.29;1029.36;172.91;7.62;355.32
2.64;1032.91;178.69;6.74;272.39
4.46;1004.15;181.46;7.92;427.34
1.28;1027.9;172.05;5.82;127.54
5.08;1019.44;227.54;17.55;2015.38
4.21;1009.52;253.9;6.64;3.67
4.52;1028.04;211.76;6.93;263.68
4.45;1013.71;274.49;3.1;4.05
2.74;998.03;276.9;12.89;1725.12
2.67;980.65;280.21;16.09;1985.59
1.09;1032.27;346.84;6.21;199.71
0.89;1005.23;358.03;7.61;266.8
7.75;1017.14;297.75;18.66;2020.8
3.69;1035.51;333.07;4.73;8.69
3.39;1030.39;260.77;5.78;8.38
3.84;1025.86;267.4;8.71;598.2
4.62;983.05;270.58;15.27;1991.66
4.87;1028.26;148.86;10.24;849.28
3.12;1029.11;275.15;7.99;500.83
4.89;1014.88;260.91;14.67;1992.93
4.43;1023.7;164.31;6.74;205.81
7.31;1028.11;173.93;10.94;1064.46
-2.23;1030.42;353.38;6.4;216.25
5.49;1015.89;245.73;12.39;1535.34
2.62;1027.15;161.7;5.44;81.43
0.29;999.48;343.15;5.97;169.0
3.24;1027.67;160.74;9.21;672.97
2.0;1033.11;302.42;7.04;386.91
3.22;1029.09;267.91;5.53;114.55
