seed,train_size,noise_p,test_r2,test_mse,test_rmse,test_mae
42,800,0.0,0.8924794452041889,54369.86174118338,233.17345848355762,148.28649093893367
42,800,0.001,0.8865395179134725,57373.50161415689,239.52766356760733,152.8881518710202
42,800,0.005,0.8119131908818649,95109.75670199725,308.3986976334324,197.87768294164735
42,800,0.01,0.6480684048324171,177961.06249594118,421.85431430286593,275.22326624496
42,800,0.02,0.25366504264858925,377398.8008234226,614.3279261301919,408.2219041426633
42,800,0.05,-0.5492998721065241,783433.6420792589,885.1178690317233,602.3087003427494
43,800,0.0,0.9213998413472951,41125.96255358705,202.79537113451838,132.4221208704589
43,800,0.001,0.9107522586113475,46697.09747736799,216.095112108923,141.74185987066116
43,800,0.005,0.8325909971537468,87593.41584295168,295.96184862740614,192.96985558305138
43,800,0.01,0.6843675572024057,165148.3692360762,406.3845090995426,264.2175453982168
43,800,0.02,0.3360802856553763,347382.72515923966,589.3918265120748,388.67186585115167
43,800,0.05,-0.43449982345988314,750573.3707664494,866.3563763062227,586.7047467350833
44,800,0.0,0.9277371375645118,38051.62575956375,195.0682592313874,132.01665000231517
44,800,0.001,0.9153285898500174,44585.623970237335,211.15308183930762,141.92850298679392
44,800,0.005,0.8363569141716923,86169.92532835118,293.5471432808556,193.06951542154974
44,800,0.01,0.695194116210796,160502.35249972504,400.62744851011524,262.2628438736855
44,800,0.02,0.36660376947850415,333528.9456993055,577.5196496218164,383.5394923467264
44,800,0.05,-0.3892369147524093,731533.7559278419,855.2974663401277,579.5541014603305
45,800,0.0,0.8909979091918702,55057.82409534063,234.6440369908015,145.1607476523875
45,800,0.001,0.8827319727811198,59233.01440143727,243.37833593283784,150.98542396204056
45,800,0.005,0.7994885721532725,101279.91895975011,318.24506117102607,196.62256947490292
45,800,0.01,0.6275513969542366,188126.7553587106,433.73581286159737,275.95571989627695
45,800,0.02,0.22699242417946452,390452.28232189495,624.8618105804634,412.38124443921316
45,800,0.05,-0.5578117482551059,786863.1195346543,887.0530533934565,600.5517010456841
46,800,0.0,0.9091221398357063,48976.7178914009,221.30684104067117,150.56767169303367
46,800,0.001,0.8935252296044434,57382.34574171647,239.54612445563896,161.41324856178434
46,800,0.005,0.7897451203426744,113312.46034678587,336.6191621800308,220.2016340129008
46,800,0.01,0.6047826177276595,212994.12422714147,461.51286463883264,305.00675269151645
46,800,0.02,0.1946732018488938,434013.9978221991,658.7973875344369,446.6994552630788
46,800,0.05,-0.6109254344325357,868174.4971068765,931.7588191731144,646.8465754063043
47,800,0.0,0.9071620335808215,48705.36116132788,220.69291144331726,156.5536177588995
47,800,0.001,0.8971233232242555,53971.945861200285,232.31863003470102,165.50985485680428
47,800,0.005,0.8366509981890378,85697.39768558498,292.7411786639949,203.29293836512198
47,800,0.01,0.7291084659697908,142117.18017298024,376.98432351091236,254.8697692929432
47,800,0.02,0.4679509488716227,279127.6262315476,528.3253034178352,349.7626996744955
47,800,0.05,-0.21822182362926612,639112.8132489735,799.445315984135,527.0139530612996
48,800,0.0,0.9243696037419232,40827.56523825529,202.0583213783963,133.57720288982452
48,800,0.001,0.9158720281509437,45414.81241627957,213.10751374899846,142.57784419350938
48,800,0.005,0.8532853609613404,79200.97993825148,281.42668661349705,186.80482485023387
48,800,0.01,0.7321276051230858,144605.58477104298,380.27041006505226,249.46800284335737
48,800,0.02,0.4354105425897039,304782.3896967664,552.071000593915,360.38888312485784
48,800,0.05,-0.2909861025605267,696913.1715787093,834.8132555120991,552.4712020457345
