model,train_size,split,metric,n_seeds,mean,std,ci95_t_lo,ci95_t_hi,ci95_norm_lo,ci95_norm_hi
ann,800,test,r2,10,0.5729410159359648,0.5711562556798985,0.16436044404700278,0.9815215878249268,0.21894120599588973,0.9269408258760399
ann,800,test,mse,10,221469.30108856093,298108.84992448316,8215.076564109448,434723.5256130124,36702.9168193402,406235.68535778165
ann,800,test,rmse,10,402.2163414282403,257.5338505833147,217.98772289224885,586.4449599642318,242.59814018643664,561.8345426700439
ann,800,test,mae,10,273.43036269678566,173.26528013612102,149.48384798646967,397.3768774071017,166.0414027975596,380.8193225960117
ann,800,train,r2,10,0.579183878504954,0.5826465850706086,0.16238362013446977,0.9959841368754383,0.21806241948897365,0.9403053375209344
ann,800,train,mse,10,219339.8317348904,304921.9546824191,1211.8056707478827,437467.85779903294,30350.718982130435,408328.9444876504
ann,800,train,rmse,10,394.6999116313819,265.73130015334766,204.60719093412112,584.7926323286426,230.00097186850465,559.3988513942592
ann,800,train,mae,10,271.77740452885666,179.66807923620584,143.25060326475224,400.30420579296106,160.42002155455395,383.1347875031594
ann,1600,test,r2,10,0.6798535146712568,0.4649296515290371,0.3472628776594255,1.012444151683088,0.39169242628246864,0.9680146030600449
ann,1600,test,mse,10,166235.30074099702,242646.47227206003,-7343.528908240522,339814.1303902345,15844.222620547662,316626.3788614464
ann,1600,test,rmse,10,338.60450766305524,239.40270148679272,167.34613184644456,509.8628834796659,190.22390256124925,486.98511276486124
ann,1600,test,mae,10,203.7814071777215,151.91432133459602,95.10844829517156,312.4543660602714,109.62566547862001,297.93714887682296
ann,1600,train,r2,10,0.6918336253177028,0.4615774631034901,0.3616409994462014,1.022026251189204,0.40575020666241757,0.977917043972988
ann,1600,train,mse,10,158948.73615638807,237792.05633257577,-11157.45352608533,329054.9258388615,11566.400919971144,306331.07139280497
ann,1600,train,rmse,10,327.8933047525146,239.06000375280647,156.8800801265715,498.9065293784577,179.72510200381532,476.0615075012139
ann,1600,train,mae,10,200.6862889802563,149.77878034280366,93.54100409416849,307.8315738663441,107.85414497915049,293.51843298136214
ann,2400,test,r2,10,0.7234454217320312,0.3853518153038132,0.44778133942611636,0.9991095040379461,0.48460628091718283,0.9622845625468796
ann,2400,test,mse,10,143579.53407975234,201130.78385709197,-300.76115571148694,287459.82931521616,18919.673401604232,268239.39475790045
ann,2400,test,rmse,10,320.04860628474944,213.82345702040632,167.08851964668017,473.0086929228187,187.52188983331368,452.57532273618517
ann,2400,test,mae,10,187.02409684687436,131.0509659008768,93.27588335555606,280.77231033819265,105.79935920279644,268.2488344909523
ann,2400,train,r2,10,0.7316478903026074,0.38096638468314703,0.4591209560768413,1.0041748245283735,0.4955268176009642,0.9677689630042505
ann,2400,train,mse,10,136704.93509533207,193779.80698267068,-1916.7880673838372,275326.658258048,16601.173366535993,256808.69682412816
ann,2400,train,rmse,10,311.16659662603945,210.50279554622892,160.58196810591372,461.7512251461652,180.69800966026398,441.6351835918149
ann,2400,train,mae,10,183.520782856837,127.30669850733693,92.45105690328822,274.5905088103858,104.61672354289503,262.42484217077896
ann,3200,test,r2,10,0.7696283159763505,0.2940207455250294,0.5592985451663773,0.9799580867863237,0.5873957185054537,0.9518609134472473
ann,3200,test,mse,10,119510.51416269728,153498.0631657145,9704.61462398211,229316.41370141244,24373.17714421563,214647.85118117894
ann,3200,test,rmse,10,300.49785833559474,180.15903868655755,171.61984583812966,429.3758708330598,188.83618113290106,412.1595355382884
ann,3200,test,mae,10,171.63720136721713,105.23151361605605,96.35911137622541,246.91529135820883,106.41523198609576,236.8591707483385
ann,3200,train,r2,10,0.7763675538741076,0.29259168921145173,0.5670600683670732,0.985675039381142,0.5950206784072496,0.9577144293409656
ann,3200,train,mse,10,114165.56489885754,149307.93640319273,7357.101476604832,220974.02832111024,21625.24763251329,206705.8821652018
ann,3200,train,rmse,10,292.49914397382673,178.29381391847468,164.95543289539728,420.0428550522562,181.9935238165222,403.00476413113125
ann,3200,train,mae,10,169.23489123321085,102.95455528441056,95.58563910936917,242.88414335705252,105.42416931480784,233.04561315161385
dtr,800,test,r2,10,0.9372603106511169,0.019222745961731486,0.9235091865756726,0.9510114347265612,0.9253461481967832,0.9491744731054507
dtr,800,test,mse,10,32242.38325926444,9178.043667271842,25676.806338581202,38807.96017994768,26553.87738801501,37930.88913051387
dtr,800,test,rmse,10,177.8151940251664,26.334177899048647,158.97685800202188,196.6535300483109,161.49340138351147,194.13698666682131
