reps,num_params,num_cnots,seed,train_size,test_r2,train_r2,generalization_gap,test_mse,test_rmse,test_mae
1,8,3,42,800,0.15113002888611315,0.1517931494740029,0.0006631205878897539,429247.6266826559,655.1699219917348,465.57178463447514
1,8,3,43,800,0.2586416362363213,0.2760507974337628,0.017409161197441514,387900.9512137212,622.8169483995448,439.0980716839013
1,8,3,44,800,0.1798570729060327,0.15807975979692745,-0.021777313109105245,431864.59378070134,657.1640539322744,465.47680030207835
1,8,3,45,800,0.18817535215464154,0.20739390469949004,0.0192185525448485,410059.09451782645,640.3585671464281,461.2881705398248
1,8,3,46,800,0.1558953547034989,0.23091901501064527,0.07502366030714636,454912.50573867484,674.4720199820559,487.0689363828372
1,8,3,47,800,0.16663367444308674,0.20389449275641958,0.03726081831333283,437206.9901086636,661.2162960096066,472.1123548919287
1,8,3,48,800,0.28160060124416253,0.2661159236688968,-0.015484677575265726,387813.62746985536,622.7468405940374,437.3984056499556
1,8,3,49,800,0.21742892916926582,0.1862266275325254,-0.031202301636740426,383020.15557743347,618.8862218351879,436.0451639280593
1,8,3,50,800,0.17599814204599462,0.21045271966311774,0.03445457761712312,414662.97758872964,643.9433030855508,459.45831311452844
1,8,3,51,800,0.23005877155726928,0.16608309822426104,-0.06397567333300824,399725.6849281939,632.2386297342119,457.1778922959472
2,12,6,42,800,0.891672962775648,0.9262657626024743,0.03459279982682628,54777.675281763935,234.0463101220866,150.40816197768083
2,12,6,43,800,0.9092521117934502,0.9013838418380913,-0.007868269955358942,47482.019326321504,217.90369277807457,144.95965266896226
2,12,6,44,800,0.9109206852890144,0.8853347497065862,-0.025585935582428165,46906.704662119664,216.57955735045647,146.7637612576312
2,12,6,45,800,0.8780329061613025,0.8925178653841219,0.014484959222819449,61606.55037169308,248.20666866885966,159.7445360532198
2,12,6,46,800,0.9067311016550638,0.9050265307165359,-0.0017045709385278274,50265.317801535086,224.19928144741027,153.50012258379363
2,12,6,47,800,0.9022642569055378,0.8910210757450487,-0.011243181160489057,51274.87007086322,226.43955058881215,149.34571506808456
2,12,6,48,800,0.9146215029681868,0.9289179883675209,0.014296485399334147,46089.883565012795,214.6855457757061,141.1813324464859
2,12,6,49,800,0.8772289784943851,0.8995432479212828,0.022314269426897737,60088.82453010076,245.13021953667965,162.3441170012916
2,12,6,50,800,0.8703339470625646,0.9196337276501737,0.04929978058760909,65251.93005841016,255.4445733587037,160.18035676936293
2,12,6,51,800,0.8939037097796926,0.8867876197991802,-0.007116089980512386,55081.36297939173,234.69419034009283,157.55828582452816
3,16,9,42,800,0.8924794452041889,0.9287096737642603,0.03623022856007141,54369.86174118338,233.17345848355762,148.28649093893367
3,16,9,43,800,0.9213998413472951,0.9090570075977177,-0.012342833749577453,41125.96255358705,202.79537113451838,132.4221208704589
3,16,9,44,800,0.9277371375645118,0.8978940616299146,-0.02984307593459723,38051.62575956375,195.0682592313874,132.01665000231517
3,16,9,45,800,0.8909979091918702,0.9065282219801778,0.015530312788307632,55057.82409534063,234.6440369908015,145.1607476523875
3,16,9,46,800,0.9091221398357063,0.9076669287390812,-0.0014552110966251641,48976.7178914009,221.30684104067117,150.56767169303367
3,16,9,47,800,0.9071620335808215,0.8924159450984558,-0.014746088482365693,48705.36116132788,220.69291144331726,156.5536177588995
3,16,9,48,800,0.9243696037419232,0.9346046872657614,0.010235083523838173,40827.56523825529,202.0583213783963,133.57720288982452
3,16,9,49,800,0.8901369305299118,0.9113818339695295,0.021244903439617713,53771.18006161154,231.88613598404615,144.09357099031752
3,16,9,50,800,0.8885037465405983,0.9321578564317865,0.04365410989118823,56108.33034316278,236.87197036197165,143.45049139729088
3,16,9,51,800,0.8819082825003878,0.8756141914126048,-0.006294091087783005,61308.95569438961,247.60645325675503,161.39521159721025
4,20,12,42,800,0.8812750769103566,0.9194880001805957,0.038212923270239174,60035.5686954475,245.02156781689138,155.46020517548874
4,20,12,43,800,0.9191673010966508,0.9075533468222226,-0.01161395427442824,42294.094632722714,205.655281071804,134.86922309541694
4,20,12,44,800,0.917581737438829,0.892577212056533,-0.025004525382296028,43399.17873487092,208.32469545128566,138.32598938968917
4,20,12,45,800,0.887235724499184,0.9029802259661454,0.01574450146696138,56958.133543429234,238.65903197538793,147.28371426552013
4,20,12,46,800,0.9130436287022261,0.9096054958285826,-0.0034381328736434735,46863.3136631038,216.47936082477653,144.74689743020295
4,20,12,47,800,0.9120952657305905,0.8978370612212505,-0.014258204509340011,46117.25133067632,214.74927550675537,142.77728837315897
4,20,12,48,800,0.9196696430449428,0.9321116946366622,0.012442051591719405,43364.74554494596,208.24203597003645,138.14476004141946
4,20,12,49,800,0.8767568404159933,0.8972741921223153,0.020517351706321962,60319.906928850425,245.6011134519761,163.89689120411313
4,20,12,50,800,0.886277876923605,0.9317775340385218,0.04549965711491677,57228.45612224593,239.22469797712344,143.20847111486236
4,20,12,51,800,0.9100745591635249,0.9032479834317604,-0.006826575731764484,46686.041873004426,216.06953018184777,138.48655767557864
5,24,15,42,800,0.897801050223606,0.9345217544175115,0.036720704193905496,51678.88856218181,227.32991127914033,140.63146521959433
5,24,15,43,800,0.9232203936112074,0.9105732896043288,-0.012647104006878629,40173.394956830285,200.43301862924253,130.91474970476585
5,24,15,44,800,0.9284381823270352,0.9013960110453637,-0.027042171281671523,37682.47496695493,194.1197438875163,130.40293161575664
5,24,15,45,800,0.8909786120313476,0.9078867149981279,0.016908102966780247,55067.57124479173,234.66480614866757,139.22073773183507
5,24,15,46,800,0.9199507534247564,0.9148046530855866,-0.005146100339169846,43140.86357058936,207.70378805065005,137.1517262313096
5,24,15,47,800,0.9081264775868475,0.8950097174284138,-0.01311676015843366,48199.387199971614,219.54358838274374,143.88280251587747
5,24,15,48,800,0.9227367598007612,0.936292323036313,0.013555563235551848,41709.02356493389,204.2278716652893,131.02833747304064
5,24,15,49,800,0.8943315723440004,0.9136042407333603,0.019272668389359926,51718.16223344377,227.41627521671305,143.2389492466814
5,24,15,50,800,0.8866456013470716,0.9363993551759084,0.049753753828836844,57043.40592740129,238.83761413856337,140.76999795393795
5,24,15,51,800,0.9093824287556125,0.9050881179409144,-0.00429431081469811,47045.37098949033,216.89944902993722,135.6775209735835
